uuid,dem_education_level,dem_full_time_job,normalized_job_code
5f326eb0-da6a-0133-0a54-0a81e8b09a82,medium,yes,e55556364d2096578fd153e9800e826f
4022a650-da6b-0133-1057-0a81e8b09a82,medium,yes,375017ea3a1a97f5ea676def873bb25b
fb8cd6f0-db3c-0133-4604-0a81e8b09a82,,no,
9a467480-dcaf-0133-a462-0a81e8b09a82,,no,
bd07f440-da51-0133-f0a9-0a81e8b09a82,,no,
917dd2a0-d955-0133-89f1-0a81e8b09a82,high,yes,e49986dae76619a3941d280ee14d38ae
8857b610-dc8e-0133-4bf7-0a81e8b09a82,medium,yes,76385cb24e831b3364279b9de5641d8f
986f8800-da55-0133-476f-0a81e8b09a82,high,yes,141ddda0f613da65a280521247de0e9f
13f43320-dd40-0133-21ed-0a81e8b09a82,medium,no,
a60c3d40-dcaa-0133-c82f-0a81e8b09a82,high,yes,16b67d7f57698455aefbc1ae1b358b50
f30223b0-d950-0133-5b67-0a81e8b09a82,high,yes,8a7a3f1bce0958ae9f090683e5a925b7
cd5c6a90-d9a9-0133-826f-0a81e8b09a82,high,yes,f842344417ed2fc226d9cc00f9562458
585e45f0-d994-0133-a3f6-0a81e8b09a82,high,no,
260b75a0-dc77-0133-38d8-0a81e8b09a82,high,yes,5e93fd1a58c8a67b295f69d87d1a940d
cb233740-d906-0133-cee6-0a81e8b09a82,,yes,16b67d7f57698455aefbc1ae1b358b50
a534ee30-d977-0133-0bbc-0a81e8b09a82,no,no,
1f5c2970-da12-0133-929e-0a81e8b09a82,medium,yes,16b67d7f57698455aefbc1ae1b358b50
ca4b3290-d995-0133-fb70-0a81e8b09a82,,no,
a5e54ad0-df0b-0133-fe8a-0a81e8b09a82,low,no,
2514d3c0-dbde-0133-4c7f-0a81e8b09a82,medium,no,
bc41f880-dd4d-0133-fba5-0a81e8b09a82,high,yes,096536ec43ce2a7de73031b271a1c132
14280100-dbea-0133-35b0-0a81e8b09a82,low,yes,2ca138b991c50dc6696238e5ad800142
169af7e0-da78-0133-7dcc-0a81e8b09a82,low,no,
d56d0a60-da6f-0133-eb85-0a81e8b09a82,high,yes,a33662485eb4ad97096183db945308f4
